index,question,answer_summary
994,Как работник электроснабжения подаёт сигнал машинисту поезда о необходимости опустить токоприёмник при обнаружении повреждения контактной сети?,"Если на участке обнаружена неисправность контактной сети, которую нельзя преодолеть с поднятым токоприемником, работник электроснабжения должен подать сигнал «Опустить токоприемник». В светлое время суток он делает это движением руки по горизонтальной линии, в темное – вертикальными и горизонтальными взмахами фонаря. Расстояние до приближающегося поезда должно составлять не менее 500 метров."
995,Что должен делать машинист при обнаружении повреждения контактной сети?,"Если контактная сеть обесточена, машинист должен подать оповестительный сигнал, опустить токоприемники, проехать место повреждения и, убедившись, что контактная сеть в порядке, поднять токоприемники и продолжать движение."
996,"Как обозначаются участки, где работают снегоочистительные машины?","На участках, где действуют снегоочистители, устанавливаются временные сигнальные знаки: ""Поднять нож, закрыть крылья"" перед препятствием; ""Опустить нож, открыть крылья"" после препятствия."
997,Какие знаки устанавливаются на участках работы скоростных снегоочистителей?,"На участках работы скоростных снегоочистителей устанавливаются временные знаки “Подготовиться к поднятию ножа и закрытию крыльев” перед знаком “Поднять нож, закрыть крылья”."
998,Каковы схемы установки знаков на участках со скоростными и обычными снегоочистителями?,"На рисунке 178 показаны схемы установки знаков на участках со снегоочистителями, а на рисунке 179 - на участках с высокоскоростными снегоочистителями."
999,"Как установить знаки, если есть два препятствия подряд и работа снегоочистителя между ними невозможна?","Если есть два препятствия подряд, когда работа снегоочистителя между ними невозможна, на шесте размещаются два знака - один над другим."
1000,Какие знаки используются на железнодорожных путях для обозначения мест установки оборудования железнодорожной автоматики и телемеханики?,"На железнодорожных путях общего пользования устанавливаются временные сигнальные знаки для обозначения мест установки счетчиков осей, устройств контроля схода железнодорожного подвижного состава и другого оборудования железнодорожной автоматики и телемеханики. Порядок размещения знаков определяется локальным нормативным актом владельца инфраструктуры."
1001,Из какого материала делают отражатели для сигнальных знаков?,Отражатели для сигнальных знаков изготавливаются из прозрачно-белого стекла или белого светоотражающего материала. На инфраструктуре и железнодорожных путях необщего пользования используются освещаемые или световые сигнальные знаки.
1002,Какие сигналы подаются маневровыми светофорами?,"Маневровые светофоры подают сигналы: один лунно-белый огонь разрешает маневровому составу следовать до следующего светофора или по указанию руководителя маневров, а один синий огонь запрещает маневровому составу движение. Разрешение на маневры выдается выходными и маршрутными светофорами с одним лунно-белым огнем при погашенном красном огне."
1003,"Как узнать, может ли маневровый состав выехать за пределы железнодорожной станции?","На станциях однопутных и двухпутных линий с автоматической блокировкой или автоматической локомотивной сигнализацией маневровый светофор на мачте входного сигнала со стороны станции подает один лунно-белый огонь, разрешая выезд маневрирующего состава за пределы станции."
1004,Как групповой маневровый светофор помогает управлять маневрами на железнодорожной станции?,"Групповой маневровый светофор разрешает маневры в определенной районе железнодорожной станции, подавая сигналы в одну или обе стороны."
1005,"Какие светофоры устанавливаются на железнодорожных путях, по которым не предусмотрено движение поездов, а также в тупиках и при маневровых передвижениях между различными видами путей?","С железнодорожных путей, на которых не предусмотрено движение поездов, а также с тупиков и при маневрах между разными видами путей устанавливаются маневровые светофоры с красным сигналом."
1006,"Какой сигнал используется для приема подталкивающих, ремонтных и пожарных локомотивов на свободные станционные пути?","Для приема на свободные станционные пути подталкивающих, ремонтных и пожарных локомотивов применяется сигнал один лунно-белый огонь."
1007,Какие сигналы подаются горочными светофорами?,"Сигналы горочных светофоров: зеленый огонь, желтый огонь, желтый и зеленый огонь, лунно-белый огонь, красный огонь, буква ""Н"" белого цвета на световом указателе."
1008,Как определяется скорость роспуска вагонов на сортировочной горке?,"Скорость роспуска вагонов на сортировочной горке определяется местным нормативным актом, в зависимости от сигнала горочного светофора."
1009,Каким образом обеспечивается информирование машиниста о сигнале горочного светофора в случае если его видимость затруднена?,"Если видимость горочного светофора затруднена, используются повторительные светофоры или автоматическая локомотивная сигнализация. Сигналы на повторителях соответствуют сигналам основного горочного светофора. На повторительных светофорах, расположенных на путях парка приема, вместо красного огня используется синий в соответствии с местными нормативными актами владельца инфраструктуры или железнодорожных путей необщего пользования."
1010,"Каким образом осуществляется разрешение на подачу составов на железнодорожных путях парка приема, а также сигнализация на подгорочных путях?",Для разрешения подачи составов на железнодорожных путях парка приема и сигнализации на подгорочных путях используются маневровые светофоры.
1011,Как осуществляется проезд выходных и маршрутных светофоров при отсутствии маневровых светофоров?,"При отсутствии маневровых светофоров проезд выходных и маршрутных светофоров с красным огнем разрешается дежурным по железнодорожной станции или по указанию руководителя маневров лично, радиосвязью, устройствами двусторонней парковой связи или ручным сигнальным прибором."
1012,Как подаются сигналы при маневрах на железнодорожном транспорте?,При маневрах подаются ручные и звуковые сигналы: разрешается локомотиву следовать управлением вперед; разрешается локомотиву следовать управлением назад; тише; запрещается движение.
1013,Как подтверждается получение сигналов при маневрах на железной дороге?,"Сигналы, подаваемые при маневрах, повторяются свистками локомотива и мотор-вагонного подвижного состава, подтверждая их исполнение."
1014,Как подаётся команда сигналисту или дежурному стрелочного поста об установке стрелки на определённый железнодорожный путь?,Команда об установке стрелки на определённый путь подаётся свистками различной продолжительности или другими средствами связи.
1015,Как обозначается голова поезда при движении по однопутному или правильному железнодорожному пути двухпутного участка?,Одним прозрачно-белым огнём прожектора и двумя такими же огнями фонарей у буферного бруса.
1016,Как обозначается голова поезда при его движении по неправильному пути?,"Голова поезда при движении по неправильному пути обозначается красным огнём фонаря с левой стороны, прозрачно-белым огнём фонаря с правой стороны, сигнальным прозрачно-белым огонём прожектора."
1017,Как обозначается локомотив при движении в голове поезда по железнодорожным путям общего пользования?,На локомотиве и мотор-вагонном составе при движении по общим путям на однопутных или по правильному пути на двухпутных участках используются сигнальные огни: прозрачно-белый прожектор и два таких же фонаря у буферного бруса.
1018,Как обозначается голова грузового поезда при движении вагонами вперед?,Голова грузового поезда впереди вагонов не сигнализируется в светлое время суток на однопутных и двухпутных участках. В темное время суток используется прозрачно-белый фонарь у буферного бруса.
1019,Как обозначается голова грузового поезда при его движении вагонами вперед по неправильному железнодорожному пути?,При движении грузового поезда вагонами вперед по неправильному пути в светлое время суток его голова обозначается развернутым красным флагом с левой стороны. В темное время суток используются прозрачный белый огонь фонаря у буферного бруса и красный огонь ручного фонаря с левой стороны.
1020,Как обозначается хвост поезда при движении на однопутных и двухпутных участках?,"Хвост поезда на однопутных и двухпутных участках обозначается следующим образом: на однопутных участках - красным диском со светоотражателем у буферного бруса с правой стороны для грузовых и грузопассажирских поездов; на двухпутных участках - тремя красными огнями для пассажирских, почтово-багажных и мотор-вагонных поездов."
1021,"Как выглядит локомотив, находящийся в хвосте грузового поезда или следующий без вагонов?","Локомотив, находящийся в хвосте грузового поезда или следующий без вагонов, обозначается красным огнем фонаря у буферного бруса сзади справа."
1022,Как обозначаются специализированные грузовые поезда постоянного формирования на железнодорожных путях необщего пользования?,"На железнодорожных путях необщего пользования специализированные грузовые поезда постоянного формирования обозначаются следующим образом: 1. Голова поезда: днем: локомотив без сигналов, вагон с диском красного цвета у правого буферного бруса; ночью: локомотив с двумя прозрачно-белыми фонарями у буферного бруса или одним прозрачно-белым фонарем у буферного бруса вагона с правой стороны, с звуковой сигнализацией на головном вагоне. 2. Хвост поезда: днем: вагон с диском красного цвета у правого буферного бруса, локомотив без сигналов; ночью: одним прозрачно-белым фонарем на буферном брусе вагона с правой стороны или двумя красными огнями на буферном брусе локомотива."
1023,Как выглядит подталкивающий локомотив или специальный самоходный подвижной состав?,"Подталкивающий локомотив и специальный самоходный подвижной состав обозначаются так же, как локомотив без вагонов."
1024,Как обозначаются подталкивающий локомотив и хозяйственный поезд при возвращении на железнодорожную станцию отправления с двухпутного перегона?,"При возвращении с двухпутного перегона на железнодорожную станцию отправления, подталкивающий локомотив и хозяйственный поезд обозначаются сигналами следования по неправильному пути."
1025,Как обозначается хвост отцепившейся части грузового поезда в случае его разрыва на перегоне?,"В случае разрыва грузового поезда на перегоне, хвост отцепившейся части поезда обозначается желтым флагом или огнем фонаря с правой стороны в светлое и темное время суток соответственно."
1026,Как снегоочиститель должен быть обозначен при движении на разных участках и в разных расположениях на составе?,"Снегоочиститель при движении на однопутных и двухпутных участках в голове состава должен иметь развернутые желтые флаги или огни фонарей в светлое и темное время суток, а также прозрачно-белые контрольные огни в сторону локомотива. Если локомотив находится в голове, то используются желтые флаги или огни буферных фонарей."
1027,Как именно обозначается хвост снегоочистителя?,Хвост снегоочистителя обозначается как хвост одиночно следующего локомотива.
1028,Как снегоочистители должны быть обозначены при движении в голове состава на неправильном пути на двухпутных участках?,"Снегоочистители, движущиеся в голове состава по неправильному пути на двухпутных участках, обозначаются желтыми флагами или огнями фонарей в светлое и темное время суток. С левой стороны должен быть красный флаг или огонь фонаря, а в сторону локомотива направляются три прозрачно-белых контрольных огня."
1029,Как должен быть обозначен локомотив и самоходный подвижной состав при маневровых передвижениях?,"Локомотив и самоходный подвижной состав, совершающий маневры, включают прозрачно-белые огни спереди и сзади. Мотор-вагонный состав включает два прозрачно-белых огня в голове и три красных в хвосте состава."
1030,Как должны быть обозначены дрезины съемного типа и путевые вагончики при нахождении на перегоне?,"Дрезина съемного типа и путевые вагончики при нахождении на перегоне в светлое время суток должны иметь красный щит, а в темное время суток — красный огонь фонаря спереди и сзади. На двухпутных участках при движении по правильному пути они должны иметь белый щит спереди и красный сзади в светлое время суток и прозрачно-белый огонь спереди и красный сзади в темное время суток."
1031,Как должны быть обозначены съемные изолирующие вышки при работе на электрифицированных участках?,Съемные изолирующие вышки при работе на электрифицированных участках должны быть обозначены красным флагом или огнем фонаря в зависимости от времени суток и условий видимости. На однопутных и неправильных путях они должны быть обознанены с двух сторон красным флагом или иметь красные огни фонаря спереди и сзади. На правильных путях двухпутных участков вышки обозначаются красным флагом справа и имеют прозрачные белые огни спереди и красные огни сзади.
1032,"Как должны быть ограждены съемные изолирующие вышки и путевые вагончики, работающие на перегоне?","Съемные изолирующие вышки и путевые вагончики, работающие на перегоне, должны быть ограждены красными сигналами с обеих сторон. Сигналы переносятся вместе с передвижением вышки и вагончика на расстоянии, указанном в таблице 1."
1033,Как должны быть обозначены съемная изолирующая вышка и путевой вагончик при работе на железнодорожной станции?,Съемная изолирующая вышка при работе на станции должна быть обозначена красным флагом или огнем фонаря в зависимости от времени суток. Путевой вагончик должен быть обозначен красным щитом или флагом в светлое время суток и красным огнем фонаря спереди и сзади в темное время суток.
1034,Как должны ограждаться съемные изолирующие вышки и путевые вагончики при движении по станционным путям и стрелочным переводам?,"При движении по станционным путям и стрелочным переводам съемные изолирующие вышки и путевые вагончики должны быть ограждены на расстоянии не менее 50 метров с обеих сторон красными сигналами. На железнодорожных путях необщего пользования это расстояние должно быть не менее 15 метров. Ограждение производится переносными или ручными сигналами, которые переносятся одновременно с передвижением объектов."
1035,"Что нужно делать, если используются путевые тележки и другие съемные подвижные единицы при работах, в соответствии с локальным нормативным актом владельца инфраструктуры?","Если локальным нормативным актом владельца инфраструктуры установлены случаи применения путевых тележек и других съемных подвижных единиц при работах, то они должны быть ограждены с обеих сторон."
1036,"Что следует делать с красным сигналом, ограждающим съемную изолирующую вышку или путевой вагончик, если на двухпутной или многопутной участке по смежному пути следует встречный поезд?","Если на двухпутной или многопутной участке по смежному пути следует встречный поезд, красный сигнал, ограждающий съемную изолирующую вышку или путевой вагончик с передней стороны, снимается до прохода поезда."
1037,Как должны ограждаться съемные изолирующие вышки на двухпутных электрифицированных участках?,На двухпутных электрифицированных участках съемные изолирующие вышки должны ограждаться только со стороны правильного железнодорожного пути в соответствии с локальным нормативным актом владельца инфраструктуры.
1038,"Какими дополнительными средствами обеспечиваются работники, участвующие в ограждении съемных изолирующих вышек, путевых вагончиков и других подвижных единиц, а также руководящие их передвижением?","Работники, участвующие в ограждении съемных изолирующих вышек, путевых вагончиков и других съемных подвижных единиц, а также руководящие их передвижением, обеспечиваются, кроме переносных сигналов, петардами и ручными свистками для подачи сигналов о приближении поезда и сигналов для его остановки."
1039,Как подаются звуковые сигналы при движении поездов?,"Звуковые сигналы при движении поездов подаются с помощью свистков локомотивов, мотор-вагонного и специального самоходного подвижного состава, ручных свистков)."
1040,Как можно заменить звуковые сигналы при использовании двусторонней радиосвязи при движении поездов двойной тягой или с подталкивающим локомотивом?,"При наличии устойчивой двусторонней радиосвязи звуковые сигналы, используемые при следовании поездов двойной тягой или с подталкивающим локомотивом, могут быть заменены радиопереговорами между машинистами."
1041,Как подаются сигналы локомотива?,"Сигналы локомотива подаются следующим образом:
1) Один длинный свисток при приближении поезда к различным объектам и ситуациям, включая станции, пассажирские остановки, требующие замедления, а также места с особыми сигнальными знаками.
2) Один длинный, короткий и длинный свисток при приближении к месту работ, начиная с километра до указанного места.
3) Один длинный свисток при получении сигнала ""Опустить токоприемник"" от сигналиста.
4) Один длинный свисток при приближении к людям на железнодорожном пути и в соответствии с локальными нормами владельца инфраструктуры."
1042,Как осуществляется проверка безопасности движения поезда после прекращения маневров?,"После прекращения манёвров составители поездов, сигналисты и дежурные стрелочного поста проверяют безопасность движения принимаемого поезда по оповестительному сигналу."
1043,В каких случаях периодически повторяется сигнал бдительности?,"Сигнал бдительности подается одним коротким и одним длинным свистком:
1. при приближении к проходному светофору с красным сигналом и в дальнейшем движении по блок-участку.
2. при проезде проходного светофора с красным сигналом, с неясным показанием или после стоянки перед ним, и при движении по блок-участку.
3. при приближении к входному светофору с лунно-белым мигающим сигналом приглашения, а также в случае приема поезда на железнодорожную станцию, когда входной сигнал запрещает движение или его основные огни погасли.
4. при приеме поезда, движущегося по неправильному железнодорожному пути (если нет входного сигнала для этого пути). Этот сигнал также используется при движении по горловине железнодорожной станции."
1044,Как подаются оповестительные сигналы при встрече поездов на двухпутных участках?,"При встрече поездов на двухпутных участках подаются оповестительные сигналы: один длинный свисток подаётся при приближении к встречному поезду, а второй – при подходе к его хвостовой части."
1045,Кто подаёт звуковые сигналы о приближении поезда?,Звуковые сигналы о приближении поезда подаются обходчиками на перегонах и сигналистами на железнодорожных станциях.
1046,Как подаётся оповещение о приближении поезда с разной чётностью номера?,"Оповещение о приближении поезда с нечетным номером — один сигнал, с четным — два."
1047,"Как подаются звуковые сигналы на железнодорожных станциях и на локомотивах, расположенных в крупных городах и населенных пунктах?","В крупных городах и населённых пунктах подача звуковых сигналов на железнодорожных станциях и локомотивами производится свистком малой громкости. Исключение составляют случаи следования локомотивов в поездах с подталкиванием, угрозы наезда на людей, препятствия или необходимости подачи сигналов бдительности и тревоги."
1048,Как подаются сигналы на указанных железнодорожных станциях при отправлении поездов и проверке тормозов?,На указанных железнодорожных станциях не подаются сигналы свистком при отправлении поездов и опробовании автотормозов. Исключение составляет движение по деповским путям.
1049,Что является сигналами тревоги?,"Сигналы тревоги: гудки, свистки, сирены, рожки, трубы, удары в металл."
1050,"Как воспроизводятся звуковые сигналы, подаваемые ударами в подвешенные металлические предметы?","В схеме звуковых сигналов:
- Длинные звуки - частые удары.
- Короткие звуки - редкие удары."
1051,"Как подаётся сигнал ""Общая тревога"" и в каких случаях он используется?","Сигнал ""Общая тревога"" – группа из одного длинного и трех коротких звуков, используется при опасных ситуациях, когда требуется помощь на железнодорожном пути."
1052,Как подаётся сигнал «Пожарная тревога»?,"Сигнал ""Пожарная тревога"" подается группами из одного длинного и двух коротких звуков, он подается каждым работником железнодорожного транспорта."
1053,"Каковы различия между сигналом ""Воздушная тревога"" на железнодорожных станциях в городах и вне городов?","Сигнал ""Воздушная тревога"" – протяжный звук сирен в течение 2-3 минут. На железнодорожных станциях в городах сирены и короткие звуки передают тот же сигнал. Вне городов сирены, свистки локомотивов и гудки транспорта повторяют его по указанию работников владельца инфраструктуры."
1054,Каким образом подается сигнал воздушной тревоги на перегонах?,"На перегонах сигнал воздушной тревоги подается следующим образом: в воинских поездах - по указанию наблюдателя из личного состава воинской части; в других поездах - машинистом локомотива, который ведет поезд; при наличии железнодорожной радиотрансляционной сети, оповещение о сигнале воздушной тревоги также передается через эту сеть."
1055,"Какие методы использования сигнала ""Радиационная опасность"" или ""Химическая тревога"" применяются на железнодорожных перегонах и станциях?","Сигнал ""Радиационная опасность"" или ""Химическая тревога"" подается в течение времени от 2 до 3 минут: на перегонах - свистками локомотивов, мотор-вагонного и специального железнодорожного подвижного состава группами из одного длинного и одного короткого звуков; на железнодорожных станциях и в других организациях железнодорожного транспорта - частыми ударами в подвешенные металлические предметы."
1056,"Каким образом осуществляется активация сигналов ""Радиационная опасность"" и ""Химическая тревога"" на перегонах железнодорожного транспорта?","На железнодорожных станциях и в других организациях железнодорожного транспорта сигналы ""Радиационная опасность"" и ""Химическая тревога"" подаются по указанию уполномоченных работников владельца инфраструктуры. На перегонах эти сигналы могут быть активированы машинистом ведущего локомотива, мотор-вагонным и самоходным специальным подвижным составом, при наличии железнодорожной радиотрансляционной сети."
1057,Как осуществляется информирование работников железнодорожного транспорта и пассажиров после окончания воздушной тревоги и устранения угрозы радиоактивными или отравляющими веществами?,"После окончания воздушной тревоги и устранения угрозы радиоактивными или отравляющими веществами, информирование работников железнодорожного транспорта и пассажиров осуществляется следующим образом:
1. На железнодорожных станциях и в организациях железнодорожного транспорта по указанию уполномоченных работников владельца инфраструктуры через радиотрансляционную сеть и другие средства связи, включая посыльных.
2. В пассажирских поездах по указанию начальника (механика-бригадира) пассажирского поезда через работников, обслуживающих поезд, и по поездной радиотрансляционной сети.
3. В людских и воинских поездах по указанию начальника эшелона средствами связи эшелона при получении извещения от дежурного по железнодорожной станции.
4. В грузопассажирских, почтово-багажных и грузовых поездах - дежурным по железнодорожной станции."
1058,Какие меры используются для предупреждения работников об опасных участках и какие средства применяются для предотвращения входа на эти участки без индивидуальной защиты?,"Для предупреждения работников, обслуживающих поезд, о назараженном участке, а также для предотвращения входа без средств индивидуальной защиты, используются указатели ""Заражено""."
1059,"На каком расстоянии от границ зараженного участка устанавливаются указатели «Заражено» на железнодорожных станциях и перегонах, и на каком расстоянии на железнодорожных путях необщего пользования?","Указатели ""Заражено"" на железнодорожных станциях и перегонах устанавливаются на расстоянии не более 50 м отграниц зараженного участка, на железнодорожных путях общего пользования на расстоянии не менее 1200 м, а на железнодорожных путях необщего пользования на расстоянии ""Т""."
1060,"Что должен сделать машинист ведущего локомотива или мотор-вагонного подвижного состава перед указателем “Заражено” или местом, указанным в уведомлении дежурного по станции о наличии зараженного участка?","Перед первым поезда указателем ""Заражено"" или перед местом, указанным в уведомлении от дежурного станции о зараженном участке, машинист ведущего локомотива и мотор-вагонного или самоходного специального подвижного состава должны подать сигнал ""Радиационная опасность"" или ""Химическая тревога"" и двигаться с установленной скоростью."
1061,На каких участках и железнодорожных станциях используются семафоры?,Семафоры используются на малоинтенсивных участках железных дорог и станциях без электрической централизации.
1062,Какие положения могут быть у семафора?,Семафор: мачта + крыло вниз (запрет) или крыло вверх (разрешение).
